DateTime,Yellow,Ultraviolet,Infrared,Red,Green,Blue,Transparent,Violet
11:08:45,4.25,7.046875,8.46875,8.328125,5.75,6.375,6.125,3.710938
11:08:57,3.914063,6.5,8.460937,7.609375,9.625,9.25,6.078125,3.46875
11:09:09,3.203125,5.695312,3.65625,5.9375,1.125,2.375,3.78125,1.46875
11:09:20,4.9375,14.625,6.21875,7.789062,3.125,3.375,9.804688,1.960938
11:09:32,3.492188,11.875,4.617187,6.3515630000000005,3.75,1.375,4.5,2.546875
11:09:44,3.476563,8.5625,5.671875,8.015625,3.5,0.875,5.5,2.429687
11:09:55,4.4375,8.59375,6.5625,5.710937,2.5,2.25,5.4765630000000005,1.960938
11:10:07,4.0625,8.25,6.640625,4.929688,2.375,2.375,5.046875,1.765625
11:10:19,5.015625,7.789062,5.9375,4.726562,0.5,2.5,4.273438,1.523438
11:10:30,4.101563,4.859375,6.4609380000000005,11.679688,0.375,2.875,5.4375,2.09375
11:10:42,3.578125,3.617188,4.726562,14.914063,-0.75,2.75,4.648437,2.289062
11:10:54,3.921875,2.890625,4.84375,16.773438000000002,-2.25,1.75,3.3203120000000004,2.3828120000000004
11:11:05,3.039063,0.414062,1.734375,17.976563000000002,-2.25,2.0,-0.28125,-0.085937
11:11:17,4.375,0.78125,1.773438,21.679687,-1.625,0.75,0.054688,1.773438
11:11:29,5.007813,2.328125,5.46875,19.289062,-2.625,2.375,4.523437,3.664063
11:11:41,5.3125,3.3046870000000004,5.148438,23.101562,-2.875,1.625,5.3671880000000005,3.5
11:11:52,4.914063,2.070313,4.898438,25.078125,-2.0,1.875,4.3359380000000005,3.078125
11:12:04,3.578125,1.960938,4.195313,12.921875,-7.75,-1.75,5.40625,3.046875
11:12:16,4.554687,8.03125,6.296875,13.359375,-3.125,0.875,10.367187,3.484375
11:12:27,5.25,9.59375,6.328125,12.773438,-2.5,7.5,8.429687,3.007813
11:12:39,4.617187,9.210938,5.710937,10.351562,-1.5,1.0,13.265625,2.828125
11:12:55,3.453125,11.117188,3.648438,7.84375,-0.25,0.125,10.976563,0.289062
11:13:06,6.4921880000000005,8.015625,3.015625,6.179688,-2.625,1.75,9.71875,-0.03125
11:13:18,4.21875,17.21875,2.992188,7.828125,1.875,4.625,7.195313,0.101563
11:13:30,4.164063,13.703125,2.398437,5.1875,-4.75,2.875,8.179687,-0.453125
11:13:41,5.0,11.03125,3.898437,6.71875,-2.75,-0.625,11.375,1.046875
11:13:53,4.546875,6.695312,0.265625,3.835937,-3.75,-1.875,5.960938,-0.164063
11:14:04,6.59375,8.71875,5.71875,4.3828130000000005,-2.625,0.5,10.445312,-0.3359379999999999
11:14:16,6.2734380000000005,9.796875,2.742188,3.429688,-2.125,0.75,15.03125,-0.3125
11:14:28,4.4375,6.875,6.5,6.914063,-3.625,-0.5,9.148438,3.054688
11:14:39,4.4296880000000005,9.695313,4.171875,6.851563,-0.125,3.875,7.820313,2.679688
11:14:51,3.992188,4.671875,8.304687,7.695312,-1.875,2.0,6.65625,3.140625
11:15:03,4.710937,7.03125,5.796875,6.390625,-1.0,1.0,4.3125,2.148438
11:15:14,4.648437,7.234375,6.960938,7.828125,0.5,1.875,8.546875,3.375
11:15:26,5.929688,5.234375,3.023438,8.929688,0.125,1.375,8.054687,1.757813
11:15:38,8.976563,4.5,3.507813,10.242187,-0.375,0.75,5.820312,1.882812
11:15:49,4.65625,3.976563,5.3125,7.429688,1.75,1.5,4.171875,4.0625
11:16:01,4.96875,8.007812,4.375,6.6875,2.0,0.625,5.835937,3.570313
11:16:13,3.8125,5.2578130000000005,4.2890630000000005,4.820312,2.0,0.5,2.898437,2.945313
11:16:24,4.28125,4.554687,5.835937,6.734375,2.375,1.375,3.453125,3.65625
11:16:36,4.804687,5.03125,7.09375,7.429688,5.75,2.75,5.054688,4.328125
11:16:48,4.929688,2.203125,5.9375,9.984375,5.875,1.75,4.34375,2.101563
11:17:00,4.3359380000000005,2.789062,8.59375,14.8125,4.0,2.125,6.929688,3.03125
11:17:11,5.109375,8.515625,3.664063,7.265625,-0.125,0.25,6.53125,3.851562
11:17:23,6.390625,12.273437,2.882812,4.15625,-1.25,-0.875,6.671875,3.96875
11:17:35,5.2734380000000005,5.4609380000000005,1.664062,5.46875,0.125,0.75,4.3671880000000005,4.757812
11:17:46,7.328125,5.8125,3.984375,5.640625,0.75,1.5,11.03125,5.3359380000000005
11:17:58,7.015625,7.226563,3.578125,5.914063,1.0,1.5,11.78125,4.984375
11:18:10,6.828125,8.15625,2.703125,4.4609380000000005,-1.125,0.75,10.976563,5.648437
11:18:21,6.3984380000000005,11.609375,-1.039063,-0.617188,-6.625,-3.0,7.859375,2.296875
11:18:33,7.8125,15.75,2.601563,3.234375,-0.75,0.625,12.226562,6.195313
11:18:45,7.65625,16.109375,2.46875,3.3046870000000004,-0.875,0.75,11.914063,5.921875
11:18:56,8.1875,15.476563,1.445312,3.585938,-0.625,0.875,11.40625,6.179688
11:19:08,7.976563,17.0625,2.726563,3.5,-0.125,1.125,12.554687,5.9375
11:19:20,6.421875,9.148438,1.953125,6.679687,-0.0,0.875,10.523437,6.3828130000000005
11:19:32,6.179688,7.585937,1.351563,7.148438,-0.875,-0.0,9.804688,6.625
11:19:43,5.875,7.617187,1.414062,7.625,-1.0,0.125,9.703125,6.53125
11:19:55,5.453125,7.484375,1.265625,8.195312,-0.5,0.25,9.195313,6.109375
11:20:07,5.585937,6.820312,2.390625,7.914063,-0.75,-0.375,7.25,5.484375
11:20:18,4.601562,6.375,1.7109379999999998,7.046875,-1.125,-0.625,6.695312,4.40625
11:20:30,4.664062,5.84375,1.78125,7.835938,-1.625,-0.625,6.59375,4.5
11:20:42,4.695312,5.882813,2.085938,8.546875,-1.125,-0.5,6.359375,4.570312
11:20:53,4.6875,6.25,2.460938,8.898438,-1.0,-0.375,6.2890630000000005,4.65625
11:21:05,4.5,5.546875,2.414062,8.984375,-0.875,-0.5,6.023438,4.578125
11:21:17,4.5,5.6875,1.984375,8.789062,-1.375,-0.5,5.96875,4.546875
11:21:28,4.632812,5.90625,2.492188,9.296875,-1.5,-0.875,5.914063,4.726562
11:21:40,4.34375,4.921875,2.679688,9.546875,-0.875,-0.5,5.742187,4.671875
11:21:52,4.648437,5.3984380000000005,2.484375,9.617188,-0.875,-0.5,5.648437,4.898438
11:22:04,4.054688,3.71875,2.023438,9.484375,-0.875,-0.375,4.164063,4.710937
11:22:15,4.164063,4.265625,2.796875,9.78125,-0.5,-0.25,6.132813,4.679687
11:22:27,5.054688,5.242188,3.023438,10.25,-0.625,-0.5,5.96875,5.4296880000000005
11:22:39,4.46875,4.84375,2.421875,9.664063,-0.875,-0.75,5.617187,4.992188
11:22:50,4.5,3.96875,1.210937,9.6875,-1.5,-1.375,5.765625,4.328125
11:23:02,6.085938,10.570312,1.914062,6.898438,-0.5,-0.5,2.5625,6.9375
11:23:14,5.9375,14.625,2.46875,7.460938,0.875,-0.0,2.195313,6.976563
11:23:25,5.726562,13.679688,0.578125,6.484375,0.375,-0.625,-0.726562,6.671875
11:23:37,6.210938,16.820313,2.289062,6.007813,0.875,-0.25,1.328125,6.890625
11:23:49,5.773437,16.210938000000002,1.601563,5.140625,0.5,-0.625,1.078125,6.453125
11:24:00,5.929688,15.960938,1.421875,4.554687,-0.125,-0.875,0.734375,6.578125
11:24:12,6.039063,15.609375,1.1875,3.976563,-0.5,-1.625,0.0078129999999999,6.453125
11:24:24,6.03125,15.804688,0.96875,4.0625,0.375,-0.75,-0.578125,6.890625
11:24:36,3.507813,7.15625,-0.1796869999999999,2.8359370000000004,-0.625,-1.375,3.804687,3.578125
11:24:47,5.2734380000000005,8.929688,0.671875,3.09375,-0.75,-1.875,1.820313,6.328125
11:24:59,5.648437,9.078125,3.6875,5.078125,2.875,2.0,3.476563,5.578125
11:25:11,4.507812,16.210938000000002,0.539063,5.125,-1.875,-3.0,6.929688,3.9375
11:25:22,4.210938,11.914063,0.359375,4.3671880000000005,-0.875,0.875,6.25,2.945313
11:25:34,2.289062,8.0,-0.226563,2.421875,-3.75,-0.875,-0.6875,0.2734379999999999
11:25:46,2.609375,3.421875,0.953125,3.015625,-2.25,-2.5,-2.421875,0.046875
11:25:57,4.851562,6.59375,4.992188,5.4921880000000005,1.625,0.75,1.5625,3.734375
11:26:09,4.0,2.601563,3.882812,4.90625,-0.0,-0.75,-4.484375,1.804688
11:26:21,3.640625,1.359375,3.109375,4.53125,-1.75,-1.5,-4.867187,1.796875
11:26:32,4.53125,6.046875,5.546875,6.632812,4.625,2.75,3.390625,4.3203130000000005
11:26:44,5.867188,11.804688,3.5,6.585937,0.875,7.875,4.789062,2.289062
11:26:56,6.015625,13.664063,4.03125,6.3203130000000005,1.5,6.125,5.375,2.414062
11:27:08,5.2890630000000005,12.078125,2.515625,4.039063,-0.5,3.25,9.0625,1.726563
11:27:19,6.695312,6.710937,2.8125,4.960938,-1.625,-1.375,8.0625,1.351563
11:27:31,6.78125,4.054688,0.671875,5.125,-1.5,0.625,8.234375,0.1796869999999999
11:27:43,9.0625,10.0,5.3046880000000005,6.3125,-0.75,1.625,18.585938,3.125
