Timestamp,DateTime,TEC1_Gain16(V),TEC1_Gain8(V),TEC1_Gain4(V),TEC1_Gain2(V),TEC1_Gain1(V),TEC1_Optimal(V),TEC1_OptimalGain,TEC2_Gain16(V),TEC2_Gain8(V),TEC2_Gain4(V),TEC2_Gain2(V),TEC2_Gain1(V),TEC2_Optimal(V),TEC2_OptimalGain,TEC3_Gain16(V),TEC3_Gain8(V),TEC3_Gain4(V),TEC3_Gain2(V),TEC3_Gain1(V),TEC3_Optimal(V),TEC3_OptimalGain,TEC4_Gain16(V),TEC4_Gain8(V),TEC4_Gain4(V),TEC4_Gain2(V),TEC4_Gain1(V),TEC4_Optimal(V),TEC4_OptimalGain,TEC5_Gain16(V),TEC5_Gain8(V),TEC5_Gain4(V),TEC5_Gain2(V),TEC5_Gain1(V),TEC5_Optimal(V),TEC5_OptimalGain,TEC6_Gain16(V),TEC6_Gain8(V),TEC6_Gain4(V),TEC6_Gain2(V),TEC6_Gain1(V),TEC6_Optimal(V),TEC6_OptimalGain,TEC7_Gain16(V),TEC7_Gain8(V),TEC7_Gain4(V),TEC7_Gain2(V),TEC7_Gain1(V),TEC7_Optimal(V),TEC7_OptimalGain,TEC8_Gain16(V),TEC8_Gain8(V),TEC8_Gain4(V),TEC8_Gain2(V),TEC8_Gain1(V),TEC8_Optimal(V),TEC8_OptimalGain
1765951158,13:59:17,-0.000375,-0.00025,-0.0005,0,0,-0.000375,16,0,0,0,0,0,0,16,0.001242188,0.001234375,0.00121875,0.00125,0.00125,0.001242188,16,0.000929688,0.000921875,0.0009375,0.0009375,0.000875,0.000929688,16,0.000632813,,,,,0.000632813,16,,0.00025,0.00025,0.00025,,0.00025,8,,,,,0.000375,0.000375,1,0.000695312,0.0006875,0.0006875,0.0006875,0.000625,0.000695312,16
1765951163,13:59:23,-0.000375,-0.00025,0,0,0,-0.000375,16,0,0,0,0,,0,16,,,0.00115625,0.0011875,0.001125,0.00115625,4,0.000875,0.000875,0.000875,0.000875,0.000875,0.000875,16,0.000585937,0.000578125,0.00059375,0.0005625,0.000625,0.000585937,16,0.000226563,0.00021875,0.00021875,0.00025,0.00025,0.000226563,16,0.000460938,0.000453125,0.0004375,0.0004375,0.0005,0.000460938,16,0.00065625,0.00065625,0.00065625,0.0006875,0.000625,0.00065625,16
1765951169,13:59:29,-0.00025,-0.00025,-0.0005,0,0,-0.00025,16,0,0,0,0,0,0,16,0.001109375,0.001109375,0.001125,0.0010625,0.001125,0.001109375,16,0.000851562,0.00084375,0.00084375,0.000875,0.000875,0.000851562,16,0.000585937,0.00059375,0.00059375,0.0005625,0.000625,0.000585937,16,0.000226563,0.000234375,0.00025,0.00025,0.00025,0.000226563,16,0.000453125,0.000453125,0.00046875,0.0004375,0.0005,0.000453125,16,0.000648438,0.00065625,0.00065625,0.000625,0.000625,0.000648438,16
1765951175,13:59:35,-0.00025,-0.00025,0,0,0,-0.00025,16,-0.000125,0,0,0,0,-0.000125,16,0.001078125,0.00109375,0.00109375,0.0010625,0.001,0.001078125,16,0.00084375,0.00084375,0.0008125,0.000875,0.000875,0.00084375,16,0.000617188,0.000609375,0.000625,0.000625,0.000625,0.000617188,16,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,16,0.000445313,0.000453125,0.0004375,0.0004375,0.000375,0.000445313,16,0.00065625,0.00065625,0.00065625,0.000625,0.000625,0.00065625,16
1765951181,13:59:40,-0.000125,0,0,0,0,-0.000125,16,0.000125,0.00025,0,0,0,0.000125,16,0.001039063,0.001046875,0.00103125,0.0010625,0.001,0.001039063,16,0.00078125,0.00078125,0.00078125,0.0008125,0.00075,0.00078125,16,0.000546875,0.000546875,0.00053125,0.0005625,0.0005,0.000546875,16,0.000179687,0.0001875,0.0001875,0.0001875,0.00025,0.000179687,16,0.000367188,0.000375,0.000375,0.000375,0.000375,0.000367188,16,0.0004375,0.0004375,0.0004375,0.0004375,0.000375,0.0004375,16
1765951187,13:59:46,-0.000125,0,0,0,0,-0.000125,16,0.000125,0,0,0,0,0.000125,16,0.001070313,0.0010625,0.00109375,0.0010625,0.001125,0.001070313,16,0.000796875,0.000796875,0.00078125,0.0008125,0.00075,0.000796875,16,0.0005625,0.0005625,0.0005625,0.0005625,0.0005,0.0005625,16,0.000226563,0.000234375,0.00025,0.0001875,0.00025,0.000226563,16,0.000414062,0.000421875,0.00040625,0.000375,0.000375,0.000414062,16,0.000554688,0.0005625,0.0005625,0.0005625,0.000625,0.000554688,16
1765951192,13:59:52,-0.00025,0,-0.0005,0,0,-0.00025,16,0,0,0,0,0,0,16,0.001125,0.001125,0.001125,0.001125,0.001125,0.001125,16,0.000820312,0.000828125,0.00084375,0.0008125,0.000875,0.000820312,16,0.0005625,0.0005625,0.0005625,0.0005625,0.000625,0.0005625,16,0.000242187,0.00025,0.00025,0.00025,0.00025,0.000242187,16,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,16,0.000695312,0.000703125,0.00071875,0.0006875,0.00075,0.000695312,16
1765951198,13:59:58,-0.000375,-0.00025,-0.0005,0,0,-0.000375,16,0,0,0,0,0,0,16,0.001132812,0.001140625,0.001125,0.001125,0.001125,0.001132812,16,0.000867188,0.000859375,0.00084375,0.000875,0.000875,0.000867188,16,0.000632813,0.000640625,0.000625,0.000625,0.000625,0.000632813,16,0.0003125,0.000296875,0.0003125,0.0003125,0.00025,0.0003125,16,0.000507813,0.0005,0.0005,0.0005625,0.0005,0.000507813,16,0.000648438,0.00065625,0.00065625,0.0006875,0.000625,0.000648438,16
1765951204,14:00:03,-0.000375,-0.00025,-0.0005,0,0,-0.000375,16,0,0,0,0,0,0,16,0.001109375,0.001109375,0.00109375,0.001125,0.001125,0.001109375,16,0.00084375,0.00084375,0.00084375,0.000875,0.000875,0.00084375,16,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,16,0.000304687,0.0003125,0.0003125,0.0003125,0.00025,0.000304687,16,0.000515625,0.000515625,0.00053125,0.0005,0.0005,0.000515625,16,0.000671875,0.000671875,0.0006875,0.0006875,0.000625,0.000671875,16
1765951266,14:01:06,-0.00025,-0.00025,-0.0005,0,0,-0.00025,16,0,0,0,0,0,0,16,0.0011875,0.001203125,0.0011875,0.0011875,0.001125,0.0011875,16,0.000867188,0.000859375,0.00084375,0.000875,0.000875,0.000867188,16,0.00059375,0.00059375,0.00059375,0.0005625,0.000625,0.00059375,16,0.000273438,0.000265625,0.00028125,0.0003125,0.00025,0.000273438,16,0.000546875,0.000546875,0.00053125,0.0005625,0.0005,0.000546875,16,0.000710937,0.00071875,0.00071875,0.0006875,0.00075,0.000710937,16
1765951272,14:01:12,-0.00025,-0.00025,-0.0005,0,0,-0.00025,16,0,0,0,0,0,0,16,0.001117188,0.001109375,0.00109375,0.001125,0.001125,0.001117188,16,0.0008125,0.0008125,0.0008125,0.0008125,0.000875,0.0008125,16,0.000609375,0.000609375,0.00059375,0.000625,0.000625,0.000609375,16,0.000289062,0.00028125,0.00028125,0.0003125,0.00025,0.000289062,16,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,16,0.000632813,0.000640625,0.000625,0.000625,0.000625,0.000632813,16
1765951278,14:01:18,-0.00025,-0.00025,0,0,0,-0.00025,16,0,0,0,0,0,0,16,0.001148437,0.001140625,0.001125,0.001125,0.001125,0.001148437,16,0.000820312,0.000828125,0.0008125,0.0008125,0.000875,0.000820312,16,0.000632813,0.000625,0.000625,0.000625,0.000625,0.000632813,16,0.000210937,0.00021875,0.00021875,0.0001875,0.00025,0.000210937,16,0.00046875,0.00046875,0.00046875,0.0005,0.000375,0.00046875,16,0.000484375,0.000484375,0.00046875,0.0005,0.0005,0.000484375,16
1765951284,14:01:23,-0.00025,-0.00025,0,0,0,-0.00025,16,0.000125,0,0,0,0,0.000125,16,0.001140625,0.001140625,0.001125,0.001125,0.001125,0.001140625,16,0.000820312,0.000828125,0.0008125,0.0008125,0.000875,0.000820312,16,0.000578125,0.000578125,0.0005625,0.0005625,0.000625,0.000578125,16,0.00021875,0.00021875,0.00021875,0.0001875,0.00025,0.00021875,16,0.000507813,0.000515625,0.0005,0.0005,0.0005,0.000507813,16,0.000609375,0.000609375,0.000625,0.0005625,0.000625,0.000609375,16
1765951290,14:01:29,-0.00025,-0.00025,-0.0005,0,0,-0.00025,16,0,0,0,0,0,0,16,0.00109375,0.00109375,0.00109375,0.001125,0.001125,0.00109375,16,0.000828125,0.0008125,0.0008125,0.0008125,0.00075,0.000828125,16,0.000632813,0.000640625,0.000625,0.000625,0.000625,0.000632813,16,0.00028125,0.000296875,0.00028125,0.0003125,0.00025,0.00028125,16,0.000515625,0.000515625,0.00053125,0.0005,0.0005,0.000515625,16,0.000679688,0.0006875,0.0006875,0.0006875,0.00075,0.000679688,16
1765951296,14:01:35,-0.000375,-0.00025,-0.0005,0,0,-0.000375,16,0,0,0,0,0,0,16,0.001109375,0.001109375,0.00109375,0.001125,0.001125,0.001109375,16,0.000882813,0.000890625,0.000875,0.000875,0.000875,0.000882813,16,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,16,0.000273438,0.00028125,0.00028125,0.00025,0.00025,0.000273438,16,0.000539063,0.000546875,0.0005625,0.0005,0.000625,0.000539063,16,0.00071875,0.00071875,0.00071875,0.00075,0.00075,0.00071875,16
1765951302,14:01:41,-0.000375,-0.00025,-0.0005,0,0,-0.000375,16,0,0,0,0,0,0,16,0.001132812,0.001125,0.001125,0.001125,0.001125,0.001132812,16,0.000726562,0.000734375,0.00075,0.00075,0.00075,0.000726562,16,0.00059375,0.00059375,0.00059375,0.0005625,0.000625,0.00059375,16,0.00028125,0.00028125,0.00028125,0.0003125,0.00025,0.00028125,16,0.000507813,0.0005,0.0005,0.0005,0.0005,0.000507813,16,0.000679688,0.0006875,0.0006875,0.0006875,0.000625,0.000679688,16
1765951307,14:01:47,-0.00025,-0.00025,-0.0005,0,0,-0.00025,16,0,0,0,0,0,0,16,0.000976562,0.00096875,0.00096875,0.001,0.001,0.000976562,16,0.000664063,0.000671875,0.00065625,0.0006875,0.000625,0.000664063,16,0.0005625,0.000578125,0.0005625,0.0005625,0.000625,0.0005625,16,0.00028125,0.00028125,0.00028125,0.0003125,0.00025,0.00028125,16,0.000515625,0.000515625,0.00053125,0.0005,0.0005,0.000515625,16,0.000640625,0.000640625,0.00065625,0.000625,0.000625,0.000640625,16
1765951313,14:01:53,-0.000375,-0.00025,-0.0005,0,0,-0.000375,16,0,0,0,0,0,0,16,0.001515625,0.001515625,0.0015,0.0015,0.0015,0.001515625,16,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,16,0.000570312,0.000578125,0.0005625,0.0005625,0.0005,0.000570312,16,0.000226563,0.000234375,0.00021875,0.0001875,0.00025,0.000226563,16,0.000476562,0.000484375,0.00046875,0.0005,0.0005,0.000476562,16,0.000617188,0.000625,0.000625,0.000625,0.000625,0.000617188,16
1765951319,14:01:59,-0.00025,-0.00025,0,0,0,-0.00025,16,0,0,0,0,0,0,16,0.001453125,0.001453125,0.00146875,0.0014375,0.0015,0.001453125,16,0.001210937,0.001203125,0.00121875,0.0011875,0.001125,0.001210937,16,0.00053125,0.000515625,0.00053125,0.0005,0.0005,0.00053125,16,0.000210937,0.00021875,0.00021875,0.00025,0.00025,0.000210937,16,0.0004375,0.0004375,0.0004375,0.0004375,0.000375,0.0004375,16,0.000507813,0.0005,0.0005,0.0005,0.0005,0.000507813,16
