Timestamp,DateTime,TEC1_Optimal(V),TEC2_Optimal(V),TEC3_Optimal(V),TEC4_Optimal(V),TEC5_Optimal(V),TEC6_Optimal(V),TEC7_Optimal(V),TEC8_Optimal(V)
1763784663,12:11:02,0.006125,0.007125,0.00759375,0.007421875,0.005773437,0.006117188,0.00259375,0.00303125
1763784673,12:11:13,0.00575,0.007125,0.007125,0.0074375,0.005039063,0.006140625,0.002414062,0.00325
1763784684,12:11:24,0.005625,0.006,0.007117188,0.007070313,0.005460938,0.006015625,0.0024375,0.003039063
1763784695,12:11:35,0.005375,0.0065,0.00715625,0.007015625,0.005117188,0.006054688,0.002320312,0.0031875
1763784706,12:11:45,0.0055,0.00675,0.007101563,0.006867188,0.004882812,0.006140625,0.0024375,0.003195313
1763784717,12:11:56,0.0045,0.005125,0.006789062,0.006515625,0.004453125,0.005859375,0.002296875,0.003085938
1763784728,12:12:07,0.005625,0.006375,0.007539062,0.00709375,0.005757812,0.0065625,0.002875,0.00371875
1763784739,12:12:18,0.00575,0.006,0.007367188,0.006625,0.005609375,0.005757812,0.002914062,0.003507813
1763784749,12:12:29,0.005375,0.0055,0.00671875,0.005984375,0.004984375,0.005078125,0.002640625,0.003117188
1763784760,12:12:40,0.005,0.005,0.006140625,0.005671875,0.004515625,0.004921875,0.002460938,0.00265625
......
(更多数据这里不再展示)
