DateTime,Yellow,Ultraviolet,Infrared,Red,Green,Blue,Transparent,Violet
11:08:39,4.96875,5.601562,8.1875,7.742187,5.375,6.375,3.242188,3.75
11:08:45,4.25,7.046875,8.46875,8.328125,5.75,6.375,6.125,3.710938
11:08:51,3.96875,6.59375,8.5,8.96875,4.625,5.5,6.554687,4.71875
11:08:57,3.914063,6.5,8.460937,7.609375,9.625,9.25,6.078125,3.46875
11:09:03,3.460938,6.21875,4.3515630000000005,5.609375,3.625,3.5,3.476563,1.96875
11:09:09,3.203125,5.695312,3.65625,5.9375,1.125,2.375,3.78125,1.46875
11:09:14,4.40625,10.40625,5.2890630000000005,7.648437,3.125,7.5,6.726562,2.59375
11:09:20,4.9375,14.625,6.21875,7.789062,3.125,3.375,9.804688,1.960938
11:09:26,4.867187,16.09375,5.859375,7.304688,2.125,1.625,9.710938,2.039063
11:09:32,3.492188,11.875,4.617187,6.3515630000000005,3.75,1.375,4.5,2.546875
