DateTime,Yellow,Ultraviolet,Infrared,Red,Green,Blue,Transparent,Violet
12:11:02,6.125,7.125,7.59375,7.421875,5.773437,6.117188,2.59375,3.03125
12:12:07,5.625,6.375,7.539062,7.09375,5.757812,6.5625,2.875,3.71875
12:13:12,4.375,4.625,5.3515630000000005,5.101563,3.859375,4.5,2.125,2.648438
12:14:17,3.625,4.5,5.015625,5.171875,3.671875,4.585937,2.070313,2.21875
12:15:22,2.875,3.5,4.171875,3.890625,2.96875,3.382812,1.578125,1.757813
12:16:27,2.75,3.125,4.4921880000000005,4.046875,3.0,3.882812,1.523438,2.242188
12:17:33,2.0,2.75,3.703125,3.453125,2.609375,3.171875,1.171875,1.9765630000000003
12:18:38,2.125,2.625,3.5625,3.140625,2.640625,2.828125,1.53125,1.78125
12:19:43,2.0,2.375,3.625,3.039063,2.6875,2.8515620000000004,1.726563,1.5625
12:20:48,1.5,1.875,2.671875,2.25,2.0,2.0625,1.195312,1.3125
12:21:53,1.375,1.5,2.3203120000000004,1.960938,1.65625,1.734375,1.046875,0.898438
12:22:58,1.0,1.5,2.226563,1.90625,1.671875,1.789063,0.898438,1.109375
12:24:03,0.75,1.125,1.679687,1.546875,1.164062,1.46875,0.523438,0.890625
12:25:08,0.875,1.375,1.929687,1.757813,1.335938,1.585938,0.742188,0.992188
12:26:13,0.625,1.125,1.882812,1.71875,1.375,1.515625,0.65625,0.945312
12:27:18,0.875,1.25,2.078125,1.835938,1.539063,1.695312,0.867188,0.90625
12:28:23,0.75,1.25,1.898437,1.515625,1.3125,1.335938,0.625,0.820312
12:29:28,0.75,1.125,1.804688,1.554688,1.28125,1.382812,0.617188,0.898438
12:30:33,0.5,1.0,1.4609370000000002,1.359375,1.078125,1.257813,0.4609379999999999,0.875
12:31:39,0.375,1.25,1.46875,1.671875,1.09375,1.65625,0.21875,0.78125
12:32:44,0.5,1.25,1.515625,1.5625,1.203125,1.539063,0.453125,1.109375
12:33:49,0.375,1.25,1.4375,1.546875,1.09375,1.53125,0.382813,1.054688
12:34:54,0.375,1.375,1.4609370000000002,1.640625,1.109375,1.585938,0.34375,1.09375
12:35:59,0.375,1.25,1.34375,1.585938,1.007813,1.507813,0.25,0.90625
12:37:04,0.375,1.25,1.359375,1.492188,1.046875,1.523438,0.328125,1.0625
12:38:09,0.25,1.125,1.195312,1.335938,0.890625,1.289063,0.289062,0.882813
12:39:14,0.25,1.0,1.101563,1.296875,0.8046880000000001,1.234375,0.203125,0.773438
12:40:19,0.25,1.125,1.132812,1.5,0.8046880000000001,1.429687,0.234375,0.8125
