DateTime,Yellow,Ultraviolet,Infrared,Red,Green,Blue,Transparent,Violet
15:55:54,3.625,12.0,-0.312,0.016,11.758,14.508000000000001,6.211,13.453
15:56:04,3.625,12.125,0.0,0.016,11.891,15.359,6.577999999999999,14.305
15:56:15,3.625,11.75,-0.312,-0.008,11.648,14.766,6.352,13.82
15:56:26,3.75,12.0,-0.312,0.016,12.016,15.344,6.844,14.227
15:56:37,3.5,11.75,-0.312,0.0,11.5,15.094,6.844,14.047
15:56:48,3.375,11.625,-0.312,-0.008,11.539000000000001,14.781,6.585999999999999,13.57
15:56:59,3.375,11.75,-0.312,0.0,11.664000000000001,14.945,6.633,13.835999999999999
15:57:13,3.25,12.125,-0.312,0.0,11.562,14.398,6.398,13.039
15:57:25,3.5,12.375,-0.312,0.0,12.172,15.827999999999998,7.008,14.734
15:57:36,3.875,12.625,0.0,0.016,12.391,15.453,7.061999999999999,13.719
15:57:46,3.75,12.5,-0.312,0.016,12.219000000000001,14.828,7.335999999999999,13.023
15:57:57,3.5,12.625,-0.312,0.0,12.194999999999999,15.835999999999999,7.680000000000001,14.664
15:58:08,3.875,12.0,-0.312,-0.9219999999999999,12.352,15.180000000000001,7.32,13.641
15:58:19,3.875,12.375,1.2730000000000001,0.023,12.609,15.258000000000001,7.242,13.609
15:58:30,3.875,12.375,-0.625,-0.625,12.719,15.547,7.609,13.875
15:58:41,3.625,12.125,-0.312,0.031,12.194999999999999,15.180000000000001,7.445,13.171999999999999
15:58:52,3.0,10.0,0.32,0.008,10.616999999999999,13.984,6.047000000000001,12.359
15:59:03,3.625,12.25,4.758,5.061999999999999,11.758,14.875,6.906,13.336
15:59:13,3.875,12.125,-0.633,-1.258,11.438,13.155999999999999,6.359,11.530999999999999
15:59:24,4.125,12.625,0.0,0.016,12.461,14.312,7.023,13.109
15:59:35,4.0,12.875,0.0,0.0,12.852,15.656,7.742,14.562000000000001
15:59:47,4.125,11.75,0.0,-2.836,12.359,13.766,7.188,11.734
15:59:58,3.375,11.125,0.0,0.328,11.164,14.734,6.156,13.266
16:00:08,4.25,11.5,-0.312,0.008,11.344,14.491999999999999,6.172000000000001,13.719
16:00:19,4.25,11.25,0.312,4.75,10.68,13.828,5.555,13.398
16:00:30,4.25,10.75,0.328,0.008,9.655999999999999,13.414,4.875,13.203
16:00:41,4.5,11.125,0.008,4.125,9.891,14.75,5.234,14.477
16:00:52,4.25,10.625,0.641,1.5939999999999999,9.789000000000001,13.530999999999999,4.648000000000001,13.523
16:01:03,4.125,10.625,2.219,0.0,9.5,13.414,4.585999999999999,13.578
16:01:13,3.875,10.25,-0.953,0.008,9.266,12.914,4.367,12.977
16:01:24,3.75,10.125,0.328,0.0,8.883000000000001,12.813,4.492,12.906
16:01:35,3.375,8.875,-0.9610000000000001,0.633,8.148000000000001,10.194999999999999,3.82,9.383000000000001
16:01:46,3.125,9.875,-0.305,0.0,8.281,12.319999999999999,3.852,12.609
16:01:57,3.5,9.625,-0.9610000000000001,-0.93,8.266,11.445,3.6879999999999997,11.242
16:02:08,4.0,10.625,-1.5859999999999999,0.0,8.898,12.491999999999999,4.086,12.828000000000001
16:02:19,3.75,9.5,-4.438,6.335999999999999,8.5,12.491999999999999,4.218999999999999,12.898
16:02:29,3.875,9.75,-1.562,3.1719999999999997,8.336,12.484,4.25,11.273
16:02:40,4.0,9.25,-0.008,0.32,7.672,11.797,4.061999999999999,10.805
16:02:51,3.75,9.0,-1.906,5.383,7.702999999999999,11.555,3.883,11.148
16:03:02,3.625,9.375,0.016,0.633,7.882999999999999,12.616999999999999,3.953,11.93
16:03:13,3.625,9.125,0.008,-0.008,7.523000000000001,11.602,3.8049999999999997,11.109
16:03:24,3.5,8.75,-0.312,-0.305,7.273,11.875,3.7030000000000003,11.586
16:03:34,3.5,9.25,-0.312,0.008,7.398,11.359,3.5469999999999997,10.695
16:03:45,3.125,9.25,-1.898,0.32,7.812,11.991999999999999,3.7729999999999997,11.461
16:03:56,3.625,9.375,1.898,0.633,7.797,11.859,3.828,11.484
16:04:07,3.75,9.125,-0.312,-0.312,7.797,11.617,3.992,10.914
16:04:18,3.5,8.875,0.32,0.328,6.938,11.398,3.648,10.491999999999999
16:04:29,3.5,8.125,0.633,0.953,7.093999999999999,10.82,3.641,9.797
16:04:40,3.5,8.75,0.32,0.0,6.969,9.75,3.2889999999999997,7.297
16:04:50,3.625,9.125,-0.312,0.016,7.453,11.422,3.945,9.453
16:05:01,3.375,8.75,0.008,0.0,6.797,10.383,3.5,8.258
16:05:12,3.5,8.875,-0.312,0.0,7.367,10.812999999999999,3.812,8.977
16:05:23,3.5,8.75,-0.312,0.0,6.883,10.578000000000001,3.758,8.898
16:05:34,3.25,8.25,0.0,0.008,5.969,9.773,3.32,8.25
16:05:45,3.125,8.25,0.008,0.008,6.188,9.922,3.4450000000000003,8.444999999999999
16:05:56,3.25,8.0,0.0,0.0,6.18,9.102,3.258,6.961
16:06:06,3.25,8.25,-0.32,0.016,6.125,9.164,3.383,7.641
16:06:17,3.375,8.125,-0.312,0.008,6.484,9.351999999999999,3.508,8.008
16:06:28,3.5,8.5,0.0,0.016,6.617,9.828,3.656,7.797
16:06:39,3.125,8.25,0.008,0.0,6.031,9.289,3.2729999999999997,7.633
16:06:50,3.25,8.25,0.008,0.008,6.25,8.133,3.258,6.234
16:07:01,3.5,8.25,0.008,0.0,6.898,8.719,3.891,6.953
16:07:12,3.25,7.875,0.32,-0.016,6.976999999999999,9.336,4.016,8.016
16:07:22,3.5,7.875,0.0,-0.312,6.617,9.078,4.039,7.406000000000001
16:07:33,3.375,7.25,0.641,-0.312,6.148,8.891,3.781,7.516
16:07:45,3.125,7.375,1.5859999999999999,-0.312,6.203,8.695,3.5309999999999997,7.702999999999999
16:07:55,3.0,7.125,1.5939999999999999,0.0,5.711,7.625,3.305,7.391
16:08:06,2.75,6.875,3.164,-0.328,5.305,8.116999999999999,3.156,7.133
16:08:17,2.75,6.5,0.008,0.0,5.164000000000001,7.484,3.2729999999999997,5.266
16:08:28,3.125,6.5,-0.32,0.016,5.093999999999999,7.156,3.438,5.031
16:08:39,2.75,6.5,1.266,0.641,5.008,7.023,3.078,5.148
16:08:50,3.375,6.25,0.633,0.32,5.383,6.984,3.375,5.273
16:09:01,3.25,5.875,0.008,0.0,5.117,6.641,3.305,5.18
16:09:11,3.125,5.375,1.578,-0.32,4.867,6.101999999999999,3.062,4.719
16:09:22,3.25,5.75,0.0,-0.008,4.898,6.438,3.094,4.922000000000001
16:09:33,3.0,5.375,-0.312,0.0,4.281,5.695,2.7729999999999997,3.742
16:09:44,3.0,5.25,-0.312,0.0,4.352,5.75,2.859,4.133
16:09:55,2.875,5.25,0.0,-0.008,4.125,5.398,2.656,4.039
16:10:06,2.75,5.375,-0.312,0.0,4.195,6.047000000000001,2.766,4.5
16:10:17,2.5,5.25,-0.312,-0.008,3.9769999999999994,5.664,2.594,4.422
16:10:27,2.375,4.875,-0.305,0.0,3.8440000000000003,5.055,2.352,4.016
16:10:38,2.25,4.75,-0.312,0.008,3.422,4.75,2.039,3.727
16:10:49,1.875,4.5,0.0,0.016,3.062,4.577999999999999,1.6949999999999998,3.711
16:11:00,2.125,4.625,0.0,0.0,3.906,4.702999999999999,1.984,3.641
16:11:11,2.0,4.25,0.0,-0.016,3.234,4.359,1.758,3.422
16:11:22,1.75,4.25,-0.312,0.016,2.977,4.297,1.711,3.305
16:11:33,1.75,4.0,-0.305,-0.016,2.875,4.016,1.578,3.109
16:11:44,1.625,3.875,0.008,0.0,2.711,4.0,1.555,2.922
16:11:55,1.625,4.125,-0.312,0.0,2.797,4.609,1.617,3.469
16:12:06,1.875,4.0,-0.312,-0.016,2.883,4.453,1.609,3.3440000000000003
16:12:16,1.875,4.125,0.953,0.953,2.578,4.297,1.531,4.352
