Timestamp,DateTime,TEC1_Optimal(V),TEC2_Optimal(V),TEC3_Optimal(V),TEC4_Optimal(V),TEC5_Optimal(V),TEC6_Optimal(V),TEC7_Optimal(V),TEC8_Optimal(V)
1763749054,11:00:00,0.00619979,0.00720570,0.00396596,0.00641502,0.00687261,0.00507079,0.00608030,0.00730783
1763749064,11:00:10,0.00607487,0.00609050,0.00370360,0.00551800,0.00584355,0.00481715,0.00533634,0.00634439
1763749074,11:00:20,0.00511535,0.00591992,0.00274271,0.00445053,0.00518234,0.00460324,0.00482441,0.00630538
1763749084,11:00:30,0.00500962,0.00518507,0.00286388,0.00469416,0.00464833,0.00416897,0.00432235,0.00550324
1763749094,11:00:40,0.00473801,0.00541533,0.00286667,0.00481235,0.00465024,0.00420638,0.00398825,0.00503735
1763749104,11:00:50,0.00443555,0.00472112,0.00286249,0.00436657,0.00434009,0.00375867,0.00375487,0.00553838
1763749114,11:01:00,0.00454638,0.00495177,0.00248903,0.00427503,0.00420477,0.00363224,0.00381264,0.00502620
1763749124,11:01:10,0.00390602,0.00446804,0.00222311,0.00377256,0.00396219,0.00362137,0.00358167,0.00533164
1763749134,11:01:20,0.00430934,0.00419189,0.00250752,0.00363270,0.00394848,0.00374992,0.00368803,0.00483465
1763749144,11:01:30,0.00395288,0.00515913,0.00227416,0.00386387,0.00378211,0.00351953,0.00358060,0.00485815
1763749154,11:01:40,0.00428252,0.00435819,0.00257577,0.00394063,0.00387712,0.00373615,0.00338572,0.00465150
1763749164,11:01:50,0.00439183,0.00431499,0.00209239,0.00371656,0.00372027,0.00329952,0.00324211,0.00489716
1763749174,11:02:00,0.00396636,0.00421531,0.00235983,0.00352871,0.00380500,0.00365983,0.00311805,0.00503983
1763749184,11:02:10,0.00490821,0.00402945,0.00203278,0.00355288,0.00392772,0.00315353,0.00335951,0.00468753
1763749194,11:02:20,0.00482734,0.00433540,0.00219336,0.00400484,0.00382109,0.00321792,0.00299205,0.00471111
1763749204,11:02:30,0.00392339,0.00411653,0.00187217,0.00354469,0.00369935,0.00329772,0.00279800,0.00427355
1763749214,11:02:40,0.00375839,0.00451178,0.00194676,0.00340742,0.00367344,0.00290543,0.00314076,0.00494075
1763749224,11:02:50,0.00363674,0.00403004,0.00213843,0.00324264,0.00352995,0.00317700,0.00311391,0.00428860
1763749234,11:03:00,0.00442096,0.00394027,0.00204272,0.00317012,0.00334678,0.00302879,0.00275265,0.00451742
1763749244,11:03:10,0.00374612,0.00356173,0.00200993,0.00315437,0.00350868,0.00292514,0.00287680,0.00458197
1763749254,11:03:20,0.00409550,0.00370181,0.00215780,0.00361144,0.00324218,0.00300390,0.00297145,0.00445851
1763749264,11:03:30,0.00391398,0.00351106,0.00201925,0.00362167,0.00327592,0.00277193,0.00294191,0.00447350
1763749274,11:03:40,0.00399562,0.00371179,0.00190042,0.00324301,0.00322038,0.00288276,0.00288114,0.00419410
1763749284,11:03:50,0.00381583,0.00359574,0.00198485,0.00333534,0.00307139,0.00280517,0.00286276,0.00428201
1763749294,11:04:00,0.00348980,0.00363514,0.00178201,0.00315619,0.00301051,0.00291752,0.00283610,0.00438679
1763749304,11:04:10,0.00406660,0.00379173,0.00180462,0.00352682,0.00293224,0.00290607,0.00281850,0.00434571
1763749314,11:04:20,0.00366562,0.00349197,0.00180586,0.00315479,0.00317774,0.00320724,0.00264912,0.00408924
1763749324,11:04:30,0.00365496,0.00366951,0.00174105,0.00324786,0.00313126,0.00290997,0.00264210,0.00428037
1763749334,11:04:40,0.00366459,0.00357712,0.00158794,0.00277011,0.00291848,0.00291456,0.00279413,0.00425780
1763749344,11:04:50,0.00357079,0.00375790,0.00178594,0.00283851,0.00320999,0.00288658,0.00268526,0.00428567
1763749354,11:05:00,0.00393896,0.00380440,0.00167855,0.00326540,0.00316977,0.00272993,0.00251922,0.00431488
1763749364,11:05:10,0.00365528,0.00354996,0.00166764,0.00307296,0.00308208,0.00287185,0.00273311,0.00410771
1763749374,11:05:20,0.00330056,0.00357644,0.00177998,0.00255124,0.00289805,0.00295654,0.00256826,0.00404560
1763749384,11:05:30,0.00351519,0.00350502,0.00171281,0.00323913,0.00305676,0.00277383,0.00263560,0.00424635
1763749394,11:05:40,0.00319431,0.00330541,0.00161599,0.00301305,0.00282877,0.00250067,0.00255649,0.00375331
